NewColumn.Index	Attribute	Value
Guid0	anonIP	ip0
Guid0	ChartId	chartId_1365380558105_0.8385615128713036
Guid0	vers	v1
Guid1	anonIP	ip1
Guid1	ChartId	chartId_1365398834214_0.6883242598581807
Guid1	vers	v1
Guid2	anonIP	ip2
Guid2	ChartId	chartId_1365404053367_0.8923888492340521
Guid2	vers	v1
Guid3	anonIP	ip3
Guid3	ChartId	chartId_1367979433902_0.769528482201578
Guid3	vers	v1
Guid4	anonIP	ip4
Guid4	ChartId	chartId_1367983385627_0.7514656857119614
Guid4	vers	v1
Guid5	anonIP	ip5
Guid5	ChartId	chartId_1367983418006_0.9292703283581843
Guid5	vers	v1
Guid6	anonIP	ip6
Guid6	ChartId	chartId_1367989137633_0.8858115402826567
Guid6	vers	v1
Guid573	anonIP	ip6
Guid573	ChartId	chartId_1428383187258_0.945281226730802
Guid573	vers	v4
Guid683	anonIP	ip6
Guid683	ChartId	chartId_1430825845232_0.04763378066254631
Guid683	vers	v4
Guid684	anonIP	ip6
Guid684	ChartId	chartId_1430826116203_0.97067524225123
Guid684	vers	v4
Guid731	anonIP	ip6
Guid731	ChartId	chartId_1431088000036_0.886386535187196
Guid731	vers	v4
Guid7	anonIP	ip7
Guid7	ChartId	chartId_1367995970203_0.6544174957867459
Guid7	vers	v1
Guid8	anonIP	ip8
Guid8	ChartId	chartId_1370652815933_0.16049506161198435
Guid8	vers	v2
Guid9	anonIP	ip9
Guid9	ChartId	chartId_1370654124438_0.6612620951681341
Guid9	vers	v2
Guid10	anonIP	ip10
Guid10	ChartId	chartId_1370658656148_0.9138864706754824
Guid10	vers	v2
Guid11	anonIP	ip10
Guid11	ChartId	chartId_1370658697919_0.9643554362997284
Guid11	vers	v2
Guid12	anonIP	ip10
Guid12	ChartId	chartId_1370658720774_0.8060609540605744
Guid12	vers	v2
Guid13	anonIP	ip10
Guid13	ChartId	chartId_1370659333996_0.6377701442796533
Guid13	vers	v2
Guid14	anonIP	ip10
Guid14	ChartId	chartId_1370659572985_0.39805871765515593
Guid14	vers	v2
Guid16	anonIP	ip10
Guid16	ChartId	chartId_1370659838605_0.9087441680195664
Guid16	vers	v2
Guid15	anonIP	ip11
Guid15	ChartId	chartId_1370659780956_0.1521046040068912
Guid15	vers	v2
Guid20	anonIP	ip11
Guid20	ChartId	chartId_1370660820600_0.25689726553738806
Guid20	vers	v2
Guid17	anonIP	ip12
Guid17	ChartId	chartId_1370659902918_0.5211827256988648
Guid17	vers	v2
Guid18	anonIP	ip12
Guid18	ChartId	chartId_1370660102267_0.1885879410653859
Guid18	vers	v2
Guid19	anonIP	ip12
Guid19	ChartId	chartId_1370660143945_0.8311049242983648
Guid19	vers	v2
Guid21	anonIP	ip13
Guid21	ChartId	chartId_1370665236983_0.2595213552550652
Guid21	vers	v2
Guid22	anonIP	ip14
Guid22	ChartId	chartId_1370674174932_0.9718535026491193
Guid22	vers	v2
Guid23	anonIP	ip15
Guid23	ChartId	chartId_1375919864360_0.9981135717200948
Guid23	vers	v2
Guid24	anonIP	ip16
Guid24	ChartId	chartId_1373439587722_0.277153836374177
Guid24	vers	v2
Guid25	anonIP	ip17
Guid25	ChartId	chartId_1375931386665_0.19558882725883264
Guid25	vers	v2
Guid26	anonIP	ip18
Guid26	ChartId	chartId_1375936995745_0.5328973532327327
Guid26	vers	v2
Guid27	anonIP	ip19
Guid27	ChartId	chartId_1375940574557_0.8718422944657505
Guid27	vers	v2
Guid28	anonIP	ip20
Guid28	ChartId	chartId_1375941133549_0.044695546387167384
Guid28	vers	v2
Guid29	anonIP	ip21
Guid29	ChartId	chartId_1381194102248_0.36579941055559095
Guid29	vers	v2
Guid30	anonIP	ip22
Guid30	ChartId	chartId_1381163837473_0.1315603003341959
Guid30	vers	v2
Guid31	anonIP	ip23
Guid31	ChartId	chartId_1381100929636_0.5273921622150481
Guid31	vers	v2
Guid32	anonIP	ip24
Guid32	ChartId	chartId_1381202755981_0.7344566136407032
Guid32	vers	v2
Guid33	anonIP	ip24
Guid33	ChartId	chartId_1381202826774_0.6364657517805397
Guid33	vers	v2
Guid34	anonIP	ip25
Guid34	ChartId	chartId_1378250871128_0.2637222366294958
Guid34	vers	v2
Guid35	anonIP	ip26
Guid35	ChartId	chartId_1380110301195_0.43516543375663635
Guid35	vers	v2
Guid36	anonIP	ip27
Guid36	ChartId	chartId_1383872062591_0.2931271175481709
Guid36	vers	v2
Guid130	anonIP	ip27
Guid130	ChartId	chartId_1375821670651_0.31795226835487705
Guid130	vers	v2
Guid37	anonIP	ip28
Guid37	ChartId	chartId_1383876742040_0.6953915882090071
Guid37	vers	v2
Guid38	anonIP	ip29
Guid38	ChartId	chartId_1383879774325_0.3907682267939204
Guid38	vers	v2
Guid39	anonIP	ip30
Guid39	ChartId	chartId_1383880723395_0.8474804692314645
Guid39	vers	v2
Guid40	anonIP	ip31
Guid40	ChartId	chartId_1383882686999_0.6886547378752887
Guid40	vers	v2
Guid41	anonIP	ip31
