RecordID	Category	Start Time	End Time	Attributes
Guid0	appInit	4/8/2013 00:22:43		p1=histogram; p2=; p3=docId_47DEQpj8HBSa-_TImW+5JCeuQeRkm5NMpJWZG3hSuFU^
Guid0	resize	4/8/2013 00:22:43		p1=600; p2=301
Guid0	resize	4/8/2013 00:22:43		p1=600; p2=301
Guid0	create	4/8/2013 00:22:44		
Guid0	toolTip	4/8/2013 00:22:49		p1=dataShape; p2=undefined
Guid0	resize	4/8/2013 00:23:01		p1=506; p2=259
Guid0	toolBarToggle	4/8/2013 00:23:03		p1=false
Guid0	toolTip	4/8/2013 00:23:03		p1=pinImg
Guid0	toolBarToggle	4/8/2013 00:23:05		p1=true
Guid0	toolTip	4/8/2013 00:23:35		p1=plotBg
Guid1	appInit	4/8/2013 05:27:14		p1=histogram; p2=; p3=docId_47DEQpj8HBSa-_TImW+5JCeuQeRkm5NMpJWZG3hSuFU^
Guid1	resize	4/8/2013 05:27:14		p1=600; p2=300
Guid1	resize	4/8/2013 05:27:14		p1=600; p2=300
Guid1	create	4/8/2013 05:27:14		
Guid1	toolTip	4/8/2013 05:27:39		p1=dataShape; p2=undefined
Guid1	resize	4/8/2013 05:27:44		p1=600; p2=300
Guid1	toolBarToggle	4/8/2013 05:27:44		p1=false
Guid1	toolTip	4/8/2013 05:27:44		p1=pinImg
Guid1	resize	4/8/2013 05:27:45		p1=600; p2=300
Guid1	toolBarToggle	4/8/2013 05:27:45		p1=true
Guid1	setData	4/8/2013 05:27:46		p1=UnnamedBinding_0_1365398866444
Guid1	error	4/8/2013 05:27:46		p1=Error%20-%20multiple%20column%20data%20is%20not%20currently%20supported%20for%20this%20chart.
Guid1	toolTip	4/8/2013 05:27:47		p1=btSetData
Guid1	setData	4/8/2013 05:27:47		p1=UnnamedBinding_0_1365398866444
Guid1	error	4/8/2013 05:27:48		p1=Error%20-%20multiple%20column%20data%20is%20not%20currently%20supported%20for%20this%20chart.
Guid1	toolTip	4/8/2013 05:27:52		p1=dataShape; p2=undefined
Guid1	toolTip	4/8/2013 05:27:55		p1=dataShape; p2=undefined
Guid1	toolTip	4/8/2013 05:28:00		p1=dataShape; p2=undefined
Guid1	toolTip	4/8/2013 05:28:04		p1=plotBg
Guid1	toolTip	4/8/2013 05:28:36		p1=plotBg
Guid1	toolTip	4/8/2013 05:28:38		p1=dataShape; p2=undefined
Guid1	toolTip	4/8/2013 05:29:07		p1=dataShape; p2=undefined
Guid2	appInit	4/8/2013 06:54:13		p1=histogram; p2=machineId_1365404053338_0.03693634735069373; p3=docId_O6GQ1DPEMQsJQ6BElSVtBYUiNTqvpUGvAUkfpoo9SIc^
Guid2	resize	4/8/2013 06:54:13		p1=600; p2=300
Guid2	resize	4/8/2013 06:54:13		p1=600; p2=300
Guid2	create	4/8/2013 06:54:13		
Guid2	resize	4/8/2013 06:54:19		p1=480; p2=240
Guid2	toolTip	4/8/2013 06:54:19		p1=pinImg
Guid2	toolBarToggle	4/8/2013 06:54:19		p1=false
Guid2	toolBarToggle	4/8/2013 06:54:22		p1=true
Guid2	toolTip	4/8/2013 06:54:25		p1=dataShape; p2=undefined
Guid2	toolTip	4/8/2013 06:54:32		p1=yAxis
Guid3	resize	5/8/2013 02:16:23		p1=600; p2=301
Guid3	create	5/8/2013 02:16:23		
Guid3	appInit	5/8/2013 02:16:23		p1=histogram; p2=; p3=docId_47DEQpj8HBSa-_TImW+5JCeuQeRkm5NMpJWZG3hSuFU^
Guid3	resize	5/8/2013 02:16:23		p1=600; p2=301
Guid3	toolTip	5/8/2013 02:16:28		p1=dataShape; p2=undefined
Guid4	appInit	5/8/2013 03:22:14		p1=histogram; p2=; p3=docId_47DEQpj8HBSa-_TImW+5JCeuQeRkm5NMpJWZG3hSuFU^
Guid4	resize	5/8/2013 03:22:14		p1=480; p2=241
Guid4	create	5/8/2013 03:22:14		
Guid4	resize	5/8/2013 03:22:14		p1=480; p2=241
Guid4	toolTip	5/8/2013 03:22:15		p1=plotBg
Guid4	slider	5/8/2013 03:22:17		p1=6
Guid4	slider	5/8/2013 03:22:17		p1=13
Guid4	slider	5/8/2013 03:22:17		p1=17
Guid4	slider	5/8/2013 03:22:17		p1=22
Guid4	slider	5/8/2013 03:22:17		p1=29
Guid4	slider	5/8/2013 03:22:17		p1=35
Guid4	slider	5/8/2013 03:22:17		p1=36
Guid4	slider	5/8/2013 03:22:17		p1=40
Guid4	toolTip	5/8/2013 03:22:19		p1=dataShape; p2=undefined
Guid4	setData	5/8/2013 03:22:19		p1=UnnamedBinding_0_1367983390936
Guid4	error	5/8/2013 03:22:19		p1=Error%20-%20at%20least%202%20rows%20of%20data%20are%20required%20for%20this%20chart
Guid4	error	5/8/2013 03:22:22		p1=The%20set%20operation%20failed%20because%20the%20supplied%20data%20object%20will%20overwrite%20or%20shift%20data.
Guid4	writeSampleData	5/8/2013 03:22:22		
Guid4	toolTip	5/8/2013 03:22:22		p1=btSampleData
Guid4	cbCategory	5/8/2013 03:22:24		p1=true
Guid4	btColor	5/8/2013 03:22:26		p1=false
Guid4	pickedColor	5/8/2013 03:22:26		"p1=rgb(237,%20125,%2049)"
Guid4	load	5/8/2013 03:22:47		p1=UnnamedBinding_0_1367983390936
Guid4	toolBarToggle	5/8/2013 03:23:19		p1=false
Guid4	toolTip	5/8/2013 03:23:19		p1=pinImg
Guid5	appInit	5/8/2013 03:22:47		p1=histogram; p2=machineId_1367983417983_0.34600631420321004; p3=docId_47DEQpj8HBSa-_TImW+5JCeuQeRkm5NMpJWZG3hSuFU^
Guid5	resize	5/8/2013 03:22:47		p1=601; p2=300
Guid5	create	5/8/2013 03:22:47		
Guid5	resize	5/8/2013 03:22:47		p1=601; p2=300
Guid5	toolTip	5/8/2013 03:22:51		p1=dataShape; p2=undefined
Guid5	toolTip	5/8/2013 03:22:56		p1=btSampleData
Guid5	setData	5/8/2013 03:22:56		p1=UnnamedBinding_0_1367983427827
Guid5	toolTip	5/8/2013 03:22:58		p1=btSetData
Guid5	error	5/8/2013 03:22:59		p1=Error%20-%20at%20least%202%20rows%20of%20data%20are%20required%20for%20this%20chart
Guid5	writeSampleData	5/8/2013 03:23:04		
Guid5	toolTip	5/8/2013 03:23:08		p1=plotBg
Guid5	readBoundData	5/8/2013 03:23:10		p1=0; p2=false; p3=0.5089027962301555; p4=1.5222821872008054
Guid5	toolTip	5/8/2013 03:23:12		p1=dataShape; p2=2
Guid5	slider	5/8/2013 03:23:15		p1=6
Guid5	slider	5/8/2013 03:23:15		p1=23
Guid5	toolTip	5/8/2013 03:23:33		p1=pinImg
Guid6	appInit	5/8/2013 04:58:05		p1=histogram; p2=; p3=docId_g5xWiCF-S7LqFYwxtLCCa_4tKZU2Z2dHP3tvPY2a1Lw^
Guid6	resize	5/8/2013 04:58:06		p1=600; p2=301
Guid6	resize	5/8/2013 04:58:06		p1=600; p2=301
Guid6	create	5/8/2013 04:58:06		
Guid6	writeSampleData	5/8/2013 04:58:22		
Guid6	toolTip	5/8/2013 04:58:22		p1=btSampleData
Guid6	toolTip	5/8/2013 04:58:30		p1=pinImg
Guid6	toolTip	5/8/2013 04:58:34		p1=chartTitle
Guid6	setTitle	5/8/2013 04:58:38		p1=MIND
Guid6	toolBarToggle	5/8/2013 04:58:38		p1=false
Guid6	toolBarToggle	5/8/2013 04:58:40		p1=true
Guid6	error	5/8/2013 04:58:42		p1=The%20supplied%20data%20object%20is%20not%20compatible%20with%20the%20shape%20or%20dimensions%20of%20the%20current%20selection.
Guid6	toolTip	5/8/2013 04:58:44		p1=errorText
Guid6	toolTip	5/8/2013 04:58:45		p1=dataShape; p2=undefined
Guid6	setData	5/8/2013 04:58:48		p1=UnnamedBinding_0_1367989179169
Guid6	toolTip	5/8/2013 04:58:49		p1=btSetData
Guid6	error	5/8/2013 04:58:49		p1=Error%20-%20multiple%20column%20data%20is%20not%20currently%20supported%20for%20this%20chart.
Guid6	toolTip	5/8/2013 04:58:51		p1=closeBox
Guid6	readBoundData	5/8/2013 04:59:00		p1=0; p2=false; p3=45; p4=97
Guid6	toolTip	5/8/2013 04:59:02		p1=gridLine
Guid6	btColor	5/8/2013 04:59:08		p1=false
Guid6	toolTip	5/8/2013 04:59:08		p1=btColor
Guid6	pickedColor	5/8/2013 04:59:09		"p1=rgb(255,%20192,%200)"
Guid6	cbPercent	5/8/2013 04:59:13		p1=true
Guid6	toolTip	5/8/2013 04:59:13		p1=cbPercent
Guid6	toolTip	5/8/2013 04:59:15		p1=plotBg
Guid6	cbPercent	5/8/2013 04:59:15		p1=false
Guid6	cbCategory	5/8/2013 04:59:17		p1=true
Guid6	toolTip	5/8/2013 04:59:17		p1=cbCategory
Guid6	cbCategory	5/8/2013 04:59:19		p1=false
Guid6	readBoundData	5/8/2013 04:59:46		p1=2; p2=false; p3=0.7634927223831571; p4=1.22264638889623
Guid6	toolTip	5/8/2013 05:00:00		p1=dataShape; p2=2
Guid6	readBoundData	5/8/2013 05:00:24		p1=20; p2=false; p3=0.7634927223831571; p4=41
Guid6	readBoundData	5/8/2013 05:00:24		p1=20; p2=false; p3=0.7634927223831571; p4=41
Guid6	readBoundData	5/8/2013 05:00:25		p1=20; p2=false; p3=0.7634927223831571; p4=41
Guid7	appInit	5/8/2013 06:51:57		p1=histogram; p2=machineId_1367995970202_0.4407435153542096; p3=docId_i8igfSCXPID9ouWYOW2khmUYlR9-J_Dkr2OedbCcI+Q^
Guid7	resize	5/8/2013 06:51:57		p1=600; p2=300
Guid7	resize	5/8/2013 06:51:57		p1=600; p2=300
Guid7	create	5/8/2013 06:51:57		
Guid7	toolTip	5/8/2013 06:52:11		p1=plotBg
Guid7	toolTip	5/8/2013 06:52:14		p1=dataShape; p2=undefined
Guid7	toolTip	5/8/2013 06:53:05		p1=tbBins
Guid7	writeSampleData	5/8/2013 06:53:09		
